TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
EKTR4;45,39;26,96;8,77;4,27;0,74;27,63;22,44;10,92;4,27;7,03;3,05;3,05;0,96;54,29;-1,06;1,05;48,71;8,48;17,80;0,17;0,83;0,78;6,85;19,34;76.671,45;10,63;5,18;0,73;8.199.244.366,58
ELEK3;19,11;;24,46;2,66;1,07;11,39;2,82;2,53;21,94;38,76;5,75;0,70;0,62;3,75;-2,60;1,94;10,87;4,36;4,38;0,40;0,60;1,72;1,48;;;7,19;0,78;-0,35;905.051.916,30
ELEK4;36,99;;47,34;5,15;2,07;11,39;2,82;2,53;42,48;38,76;5,75;0,70;1,20;7,26;-5,02;1,94;10,87;4,36;4,38;0,40;0,60;1,72;1,48;;;7,19;0,78;-0,68;905.051.916,30
ELET3;35,44;1,14;8,06;0,72;0,30;46,21;48,35;26,67;4,45;6,99;2,48;0,40;2,15;2,60;-0,37;2,35;8,89;3,71;8,28;0,42;0,58;0,14;8,27;-5,20;326.415.486,80;49,51;4,40;0,04;83.175.781.221,70
ELET5;90,00;;20,45;1,82;0,76;46,21;48,35;26,67;11,28;6,99;2,48;0,40;5,45;6,60;-0,95;2,35;8,89;3,71;8,28;0,42;0,58;0,14;8,27;-5,20;0,00;49,51;4,40;0,09;83.175.781.221,70
ELET6;40,07;4,55;9,11;0,81;0,34;46,21;48,35;26,67;5,03;6,99;2,48;0,40;2,43;2,94;-0,42;2,35;8,89;3,71;8,28;0,42;0,58;0,14;8,27;-5,20;48.249.650,95;49,51;4,40;0,04;83.175.781.221,70
ELMD3;27,49;0,08;32,29;4,17;1,58;33,02;26,28;10,51;12,91;14,35;1,46;0,47;3,39;12,45;-2,23;1,75;12,92;4,88;14,45;0,38;0,54;0,46;37,68;;16.477.466,95;6,58;0,85;0,31;3.836.954.669,73
ELPL3;8,31;;2,49;0,46;0,09;21,82;16,55;5,01;0,75;2,94;2,18;1,32;0,12;-0,82;-0,12;0,69;18,36;3,52;21,52;0,19;0,81;0,70;5,85;;;18,19;3,34;-0,06;2.485.315.360,74
EMAE3;70,00;3,81;17,91;2,25;1,20;28,37;14,00;23,41;29,96;17,72;-4,71;-0,35;4,19;3,27;-2,09;7,38;12,55;6,71;5,79;0,53;0,47;0,29;13,78;7,30;32.277,25;31,13;3,91;0,32;1.936.615.414,06
EMAE4;40,79;7,19;10,44;1,31;0,70;28,37;14,00;23,41;17,46;17,72;-4,71;-0,35;2,44;1,90;-1,22;7,38;12,55;6,71;5,79;0,53;0,47;0,29;13,78;7,30;30.432,80;31,13;3,91;0,19;1.936.615.414,06
